group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stackless,wikidata_person,,,54852100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55089000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55203600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55129600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55156400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55139600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55250600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55205000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55251300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55281300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55255700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55103200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55145700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55123700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55188400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55211200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55154800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55171700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55182200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55209100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55187000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55251900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55221500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55267600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55154800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55301100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55367000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55243500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55273300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55243600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55224700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55209600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55166400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55277800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55157300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55129800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55180700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55629500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55589100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55652000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55697800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,55424800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,54941100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,54943300.0,ns,4
