group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66655800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66724400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66724400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,67146000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66892700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66378100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66490200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66972600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66646200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66504400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66497600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66392100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66641100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66899000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66952800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66441700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66409900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66565500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66503100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66527300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66483300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66523500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66788600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66613500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66545400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66595900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66456300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66507400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,67027200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66412300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66429600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66534800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66612600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66453500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66386900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66456300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65555400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66528500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66520700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66654600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66543400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66371200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66668200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65750700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65958700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66784400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66679700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66151300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65595300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66229000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66611900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66643700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66606300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66597900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66514700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66621700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,67026900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66419600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66237800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66568300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66410000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66650700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66863500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66493600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66493500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66789700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66480800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66616200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66931100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66465900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,67030500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66771100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66539400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66247200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66589100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65489700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66417400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66612900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66634400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66682600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66508100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66364400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66034300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66254200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66689400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66766200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66836000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,67032800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66503400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66628900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66384500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66870300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66678700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66429600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66567200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66607900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66666400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,67007700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66624800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66592900.0,ns,2
