group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stackless,wikidata_profession,,,73350600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73780300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73750300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74256300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73747500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74023200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73888000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73897400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73934000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74039500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73999500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74469900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73993800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74008100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74069700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74015400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74078000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74061000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73946100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74421700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74071200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73940400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73883100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73877400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73836200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73841900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73802100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74406600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73944400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73961200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73902700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73869500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73918600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73870800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73990200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74085400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74521700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73931800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73943700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73982900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73928300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73892200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,73936900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74046400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74560300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74097000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74153300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74146700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74164000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74094300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74283300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74199300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74745300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74162300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74223400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74264500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74434200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74298400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74335600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74369800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74839500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74300500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74301100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74337400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74274600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74195700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74260200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74274900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74232000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74791500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74289600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,74336300.0,ns,3
