group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_properties,stackless,wikidata_properties,,,55417100.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54950600.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54907200.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55049500.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54950200.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54913000.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55123700.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55241000.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55283100.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56097100.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55087900.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54957700.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54989000.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55143300.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54757100.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55421300.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54901500.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55362800.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55386700.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54987800.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54815000.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,53874800.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55940900.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55886200.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55550800.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54930400.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55071300.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,55432800.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54913500.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,54884800.0,ns,5
