group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,425313100.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,420125600.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,424415800.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,433023900.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,428914000.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,429983700.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,430883900.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,430698800.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,429754200.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,426631800.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,429637900.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,424875800.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,427464600.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,428736500.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,432242400.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,422725600.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,425226300.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,424614700.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,430549600.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,425978600.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,429105800.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,424871800.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,427781700.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,432753800.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,424344000.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,423120100.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,421921700.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,420295700.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,420397000.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,423191700.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,424899600.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,428880200.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,426827000.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,422727800.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,425353900.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,425181900.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,424666800.0,ns,17
find_byte_sequence16_bench,nosimd::find_byte_sequence16_bench,bench_33554560,,,423285500.0,ns,17
