group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165409700.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164430100.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164454600.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164801700.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164539900.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164325100.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164585300.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164155500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165149400.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164422100.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164486400.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164865400.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165801500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164804800.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164413700.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165214900.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165405400.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164543200.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164993500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164611800.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164920300.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,163734400.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164730000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164722600.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164604500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164938800.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164435900.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164573700.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164857500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165289500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164563700.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164444500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165511900.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164774900.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164797100.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164478900.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164966600.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164528300.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164874000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165201500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164381000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164708200.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165215500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164227800.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164582000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164928500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164376300.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164262800.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165240500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164356000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164263600.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165597000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164552500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164928100.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164784600.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164669400.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164299200.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164657500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164527400.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164475300.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,168879200.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,166329000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164688000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164893000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164360800.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165135500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164839000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164471000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164351000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164631400.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164625900.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,166119900.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165218800.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164663800.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164230900.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164352600.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164835500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164765300.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164322700.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165301800.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164491900.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164855900.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165167600.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164651700.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164625400.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164540500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164571300.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164528500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164836200.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164432000.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165196300.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164733200.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165083600.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164573400.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165024100.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,165959700.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164371500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164541500.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164607400.0,ns,9
find_byte_sequence2_bench,nosimd::find_byte_sequence2_bench,bench_33554560,,,164346200.0,ns,9
