group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,4399900.0,ns,2
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,8463900.0,ns,4
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,13022500.0,ns,6
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,16927100.0,ns,8
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,21417200.0,ns,10
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,25388900.0,ns,12
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,29610800.0,ns,14
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,34008900.0,ns,16
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,38367200.0,ns,18
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,42693300.0,ns,20
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,47597200.0,ns,22
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,51398000.0,ns,24
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,54676800.0,ns,26
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,58927100.0,ns,28
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,63918600.0,ns,30
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,68191200.0,ns,32
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,71382400.0,ns,34
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,75900800.0,ns,36
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,80349300.0,ns,38
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,84754600.0,ns,40
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,88788900.0,ns,42
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,92684000.0,ns,44
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,96600800.0,ns,46
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,100767900.0,ns,48
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,105603200.0,ns,50
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,109895000.0,ns,52
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,122566000.0,ns,54
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,125625700.0,ns,56
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,122747500.0,ns,58
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,127396400.0,ns,60
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,130891000.0,ns,62
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,135328800.0,ns,64
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,139651800.0,ns,66
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,146506600.0,ns,68
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,148488700.0,ns,70
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,152016900.0,ns,72
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,156496600.0,ns,74
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,160635000.0,ns,76
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,164206800.0,ns,78
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,169146200.0,ns,80
find_byte_sequence2_bench,simd::find_byte_sequence2_bench,bench_33554560,,,174164500.0,ns,82
