group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,6321000.0,ns,2
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,12102700.0,ns,4
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,18612800.0,ns,6
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,24275500.0,ns,8
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,30628100.0,ns,10
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,36635000.0,ns,12
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,42890300.0,ns,14
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,48688300.0,ns,16
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,55042300.0,ns,18
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,60821800.0,ns,20
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,68104600.0,ns,22
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,76544800.0,ns,24
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,83694900.0,ns,26
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,87543600.0,ns,28
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,92314700.0,ns,30
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,98506100.0,ns,32
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,104418500.0,ns,34
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,109430900.0,ns,36
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,115448700.0,ns,38
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,121985800.0,ns,40
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,128766400.0,ns,42
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,134579400.0,ns,44
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,140722200.0,ns,46
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,144860800.0,ns,48
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,152665900.0,ns,50
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,156823000.0,ns,52
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,164440900.0,ns,54
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,172996500.0,ns,56
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,178852600.0,ns,58
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,184018900.0,ns,60
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,190068600.0,ns,62
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,195710800.0,ns,64
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,201294200.0,ns,66
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,207983600.0,ns,68
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,213793500.0,ns,70
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,219428300.0,ns,72
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,225790100.0,ns,74
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,232046900.0,ns,76
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,237611300.0,ns,78
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,243799400.0,ns,80
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,251602900.0,ns,82
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,256415100.0,ns,84
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,263697700.0,ns,86
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,268880200.0,ns,88
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,274910900.0,ns,90
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,280220800.0,ns,92
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,286030200.0,ns,94
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,292450800.0,ns,96
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,299549900.0,ns,98
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,305074200.0,ns,100
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,311920400.0,ns,102
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,317522600.0,ns,104
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,326430800.0,ns,106
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,330170500.0,ns,108
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,334938800.0,ns,110
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,341878900.0,ns,112
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,347167300.0,ns,114
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,353549900.0,ns,116
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,370650400.0,ns,118
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,367059200.0,ns,120
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,373375400.0,ns,122
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,378959500.0,ns,124
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,383573100.0,ns,126
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,393174500.0,ns,128
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,396394300.0,ns,130
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,400660800.0,ns,132
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,413061700.0,ns,134
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,418006300.0,ns,136
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,425435600.0,ns,138
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,427892500.0,ns,140
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,433855600.0,ns,142
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,441163300.0,ns,144
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,448385900.0,ns,146
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,452922000.0,ns,148
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,459945600.0,ns,150
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,464980400.0,ns,152
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,472376900.0,ns,154
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,478682100.0,ns,156
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,485084100.0,ns,158
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,489162300.0,ns,160
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,495895200.0,ns,162
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,509291600.0,ns,164
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,512739300.0,ns,166
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,514806900.0,ns,168
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,518930800.0,ns,170
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,528239200.0,ns,172
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,530290800.0,ns,174
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,538250400.0,ns,176
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,544474100.0,ns,178
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,548744700.0,ns,180
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,554578500.0,ns,182
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,561441200.0,ns,184
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,566975100.0,ns,186
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,573156700.0,ns,188
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,580428900.0,ns,190
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,589769800.0,ns,192
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,594752700.0,ns,194
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,599021500.0,ns,196
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,604909700.0,ns,198
find_byte_sequence4_bench,simd::find_byte_sequence4_bench,bench_33554560,,,612549500.0,ns,200
