group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452386700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452375900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452378500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452970800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452271400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452353400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452246700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452278400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452293400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452101400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452451700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452219000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452305000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452256400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452446700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452336700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452327700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452317100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452277300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452386900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452354600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452383200.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452351400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452417400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452237600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,453613900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452499300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452271300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452350300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452177500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452334800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452243500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452327600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452259500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452396700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452256000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,453355700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,452279000.0,ns,6
