group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stack-based,wikidata_combined,,,435874100.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,435907700.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436245700.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436249500.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436185100.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,435963000.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436743400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436917500.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437169600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436975800.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437332400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437103600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437517800.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437319400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436776300.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437120300.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436908700.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436874400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437180600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436946200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437064200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436851700.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437739700.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437395800.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436803500.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437685200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437048500.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437170600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437469000.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437081100.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437069300.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436732000.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437229100.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437118000.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437158400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437042900.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437061400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436978300.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437182600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437078300.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437609100.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436819800.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436909100.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,435932900.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436173900.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437058400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437231600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437116600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437010800.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436967200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437247700.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437053300.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436809700.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,435682200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436272200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436940900.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437321300.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437043600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436940900.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437536300.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437263200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437089000.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437575800.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436971200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437295000.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436823200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437255100.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436943200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437177800.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436974400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436897700.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437296600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437037400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436888400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437220200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437460300.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437381800.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437482300.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437095300.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437470500.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437235200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437171200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436867400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437428800.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437492500.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437442600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437494400.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437520800.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436928600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436899600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,436806200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437432600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437346000.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437675600.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437102500.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437073200.0,ns,8
simdpath_wikidata_combined,stack-based,wikidata_combined,,,437215100.0,ns,8
