group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stack-based,wikidata_combined,,,456832500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454732400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455804100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455655100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,461712200.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455407800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,460657900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454989700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455007200.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455136000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455017500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455124700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,457985500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455787800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455611100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455054000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455844000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454895300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,456248300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454983200.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455150700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455851200.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455859800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455644200.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,456934700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455350900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,456710500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,456052700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,457915900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,457440500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455870800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454631000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454389500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454519500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454653800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455101900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455248100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455056400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455630700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454752900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454990800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455437400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455581800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,456700900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455941800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454433400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455978500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455830500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,456791400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454903400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454320300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454292100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454861900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454002500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455290800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455038400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455884900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455098600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454673800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454436900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455627400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454734100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454541600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454356300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454143600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454275400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455651600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455531800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455840600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455366900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,457391100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,455857100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454354600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454169600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454299100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,454273800.0,ns,6
