group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stack-based,wikidata_combined,,,411315400.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,411852700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410973400.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410502000.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410169400.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,409859000.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,409579600.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410102400.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,409502400.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,411974200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,411977200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418960100.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410560200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410459500.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,409257500.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412001200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,409148300.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412801700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410795000.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,411421000.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410756000.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410673500.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,411755300.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,411900900.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410259200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,411071600.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,408971800.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,411692100.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410407700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,409859100.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,410374000.0,ns,7
