group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418209900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418561700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,420349000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417713500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418398400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417903500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418449400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418634800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,420165100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418575300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417617100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417339600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417540700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417411600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418171400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417908100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,416973900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417718900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417739500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418245500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418219800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418178800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418424000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417108000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417969800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417587800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,420648200.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418122900.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417593600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418457300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417243500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418066300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418068600.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418280500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418114200.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,416398800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418302000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418986500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417233300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417992800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,419862100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418449000.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417404500.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417196100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418161300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418698800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418347400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417759300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417653800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417540800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,416243800.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,419407300.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415987100.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418371400.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417778700.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,416192800.0,ns,6
