group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418891700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,416874700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418295900.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418661100.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418438200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418403700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418271900.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418080000.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418565500.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417945500.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417873800.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418103400.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417373400.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418149600.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417810300.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418093000.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,419094000.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,419674700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418708800.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417838100.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417094200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417838200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418327000.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418259600.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418345200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417552700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418318500.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418209600.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418542700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418153800.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418310100.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417525200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417491800.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417277200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417722700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417470400.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418552700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418247100.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418119900.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417716200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,416618400.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,416654300.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,423348700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417712500.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418852700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,419498200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418271700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,418413200.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,422675400.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,417937500.0,ns,7
