group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stack-based,wikidata_combined,,,416723534.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415839747.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,416017417.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415631381.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415397875.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,416031436.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414611594.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415576886.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415626449.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414937775.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415663878.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415379820.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415390252.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415897624.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415716652.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,416051288.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415323321.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415780507.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415519062.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414935520.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415545947.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415630083.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414986292.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415361271.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415548658.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415019570.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415843412.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415041560.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414849943.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414562898.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414778929.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415230245.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414819053.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414604311.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414986262.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414545841.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415250070.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414785464.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413282725.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412856790.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412381081.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413134748.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415296832.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414622546.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415030230.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414767529.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,415206644.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414623773.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414475103.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414704976.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414949547.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414961992.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414448762.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,414793687.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412588162.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412742131.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412974158.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412512451.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412630041.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412420390.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413082007.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412947569.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412638864.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413199072.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412498224.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413170532.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413631508.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413174623.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413304380.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412808016.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413112719.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412846200.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412752460.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413043288.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413066081.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413007181.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412760022.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412451966.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412833905.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412744151.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412904954.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412464134.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413092905.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413317114.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412691360.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412851474.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412674147.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413129963.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412799940.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412842655.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412889545.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412660334.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412629838.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412764395.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412758972.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412827430.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412465571.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412915471.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,412387452.0,ns,6
simdpath_wikidata_combined,stack-based,wikidata_combined,,,413186491.0,ns,6
