group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stack-based,wikidata_combined,,,445121545.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444991275.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,445705599.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444532043.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443805080.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,445933879.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,445033985.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,445272534.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,445251535.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443896405.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443194616.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442696037.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443744297.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444983274.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444838194.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443701012.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444336518.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444066706.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444627600.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443982725.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,445114299.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444133648.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444303052.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444709917.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444417846.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,445216728.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442445584.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443391527.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,445286911.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442650578.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443255255.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,445528697.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444525102.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443619394.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444302373.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442440700.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443849698.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442296845.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,441867705.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442826179.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,441219164.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443000716.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444021417.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,441183112.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443218155.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443114774.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,441328917.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442288680.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442302548.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,443345939.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,441237806.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442750600.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,439785838.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,441561845.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,441711169.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,444259969.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442909138.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442179464.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442167738.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,441747851.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,441565615.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,440318717.0,ns,7
simdpath_wikidata_combined,stack-based,wikidata_combined,,,442671309.0,ns,7
