group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stackless,wikidata_combined,,,413676600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414622000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414937000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,415931800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413740100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413388100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413204700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414230500.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416086700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,415849700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416578800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416745000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416641000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416760700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416797700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416533400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416680600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416357000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416258400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416310600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416342200.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416775900.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416238600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416505600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416629500.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416539500.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416119600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416710800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416726600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416342900.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416522800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416711300.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416713600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416654800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416952700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416721900.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416637400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,417178400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,417566900.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416647400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414203800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414143100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413960400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413853100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414033600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413946500.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413978700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414284200.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414221400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414173500.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414239200.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414258800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414061600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414559100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414080800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413295000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413849000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413904700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413624000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413602300.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413743600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413931600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413654400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413730500.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413543000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413253000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,415169800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,415354500.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416129100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416204700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416202500.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,415931100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,415866900.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,415970600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416020800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,416547500.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,415283600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413582400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413482800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413520000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413611400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413152700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413162800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413280800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413269800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413940800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413561800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413230900.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413711200.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413504500.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413444900.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413616400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413705600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414138100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413317700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413847000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413661700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413788800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,413751900.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,414375600.0,ns,8
