group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stackless,wikidata_combined,,,450540300.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,450484700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,450659400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,449183200.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,449103500.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,449806700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,448831900.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,449353700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,448809000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,448610300.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,447803600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,447237000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,449648600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,450044800.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,448801100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,449367400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,450080000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,452740600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,452997000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,449730100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,449515000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,451119700.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,451596400.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,451747100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,449316100.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,449488000.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,448528600.0,ns,8
simdpath_wikidata_combined,stackless,wikidata_combined,,,447666400.0,ns,8
