group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stackless,wikidata_combined,,,423750500.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424005000.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423454200.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423456500.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424028500.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423865000.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,422871400.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424730500.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423843900.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423324200.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,427519600.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423479900.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423286100.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423878700.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424095600.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,425174700.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423918800.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423678000.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423307500.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423460400.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423430900.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424257900.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423435500.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423375800.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423447300.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423702200.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423572400.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423438200.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423407400.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423641800.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423445100.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423390200.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423720200.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423273900.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,426868500.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423388100.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423526800.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423359100.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423906900.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423527400.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423664800.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424112300.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423361300.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423668100.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423668400.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424710000.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423545800.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423462700.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423579700.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423421000.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424156100.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423617500.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423521600.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423747400.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423540100.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423698700.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423354200.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423631300.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,427560100.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423497500.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423421200.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424678000.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423817200.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423788900.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423791100.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423679300.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423556300.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423662400.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,425397800.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424925900.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,425852000.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,421637000.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424641400.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,424484700.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423569900.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423453600.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423612200.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423596000.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423408200.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,423486500.0,ns,9
