group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stackless,wikidata_combined,,,407869200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,405999900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406994800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407112900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407628600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407234400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406760600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407099700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406871600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408203100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406641600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406395500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406834900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408082100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408089200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406455100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407372000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408152200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407764100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408778800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406132300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406732200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408126900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408590400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407265700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407191400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407424300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406376200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407106400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408150500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406477000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408081000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407117500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407674500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407517100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406266700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407515700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407484600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406652500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406096400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407779600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406880800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407575000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,409975100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406667400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406946900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408150500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406660300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406038100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408057000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407063600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406202000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407156000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406409400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407440700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408151500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407857900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406747300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406814200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406705300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,409111500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407828200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,409385200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,409339800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408088500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407773400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407702200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408380400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408006400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407353000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407376500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408236700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406382000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408669400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406030500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,405558000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,408076000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,409421400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407703300.0,ns,7
