group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stackless,wikidata_combined,,,433090900.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432980500.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433099800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433276800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433617800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432449000.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432467100.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433725100.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432673400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433460000.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,434068200.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,434289900.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433064200.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432722100.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,434253900.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433178200.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433755100.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,434722900.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,431210400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,436873600.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433435100.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433868500.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433416400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432767100.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432350400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433208800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,431147800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432485700.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433310800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433394700.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433995700.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433023300.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432957300.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432503800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433253200.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433454400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433805400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,430940100.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432719100.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433057300.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,431501400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433185600.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,435260100.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433450000.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432277400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432344400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433220400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,434384200.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433430900.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433371400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433036600.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433036300.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,430930300.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,431838300.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432308800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433370800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432639300.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,431867600.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433293400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433802000.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432078200.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432368800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433348800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432140900.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432717300.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,430857400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,435689800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432726800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433121200.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,431796600.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,431864900.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,431005400.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433354000.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432948500.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433196700.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432379600.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432673500.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432335700.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,433016800.0,ns,10
simdpath_wikidata_combined,stackless,wikidata_combined,,,432720600.0,ns,10
