group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stackless,wikidata_combined,,,404411200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404273800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,407338800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404832700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403795500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403672100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404263600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,405176200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403267200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404990000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406011600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,405303300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404029200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,405104800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404206900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404363700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404045200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404708400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404734400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403956500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403818100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404741900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404159200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,405042200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,402665500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404627100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404858300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406142900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404902500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404833800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403717400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404875000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404750800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403914600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404062200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403835700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,405461300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404955700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403380800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404009300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403974500.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403687000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403070400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,405063600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404372900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404281900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404324800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403526600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404596700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404510900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404705000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403828600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,406574400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403747800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403574800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403980900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404361900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404347400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,405281600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404254900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404427300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,402488700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403979900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404581300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404561600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403765100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403365800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,402872200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403896100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403853400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404087000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404862300.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404979600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404147200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404713000.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403860400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,405379100.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,409248200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404759700.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404635800.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,405040600.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404124900.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403606400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403494200.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,404241400.0,ns,7
simdpath_wikidata_combined,stackless,wikidata_combined,,,403579500.0,ns,7
