group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_combined,stackless,wikidata_combined,,,409584461.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407669208.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406954625.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407639745.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407162635.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407043485.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407273827.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406770908.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407971228.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407195489.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407121538.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407198249.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406896860.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407229595.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407438064.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407138402.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407490371.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407276752.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407275405.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407211102.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407442488.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406953595.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407241943.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407085366.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406927730.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407043409.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406988472.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406837178.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407277008.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406941705.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407166750.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406767981.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406785195.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406991360.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406864653.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406808595.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406983587.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406872088.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407200737.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406423333.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406239990.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406538998.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406212562.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406367690.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406225038.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406043799.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406639026.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406249363.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406623499.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406449754.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406409488.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406357096.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406379259.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406308121.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406182328.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406174473.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406320263.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406736254.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407001623.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406802085.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407954304.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407294095.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407095942.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407111074.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406997286.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406963965.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406874066.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407224078.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407069595.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406923818.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,407329163.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406433886.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406617902.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406672529.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406512442.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406303770.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406377574.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406502812.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406459063.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406391701.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406514856.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406173863.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406533679.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,410618669.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,412336738.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406735130.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406447766.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406917277.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406372128.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406993454.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406628959.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406199642.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,408234989.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406481306.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406322882.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406512464.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406539052.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406789581.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406611612.0,ns,9
simdpath_wikidata_combined,stackless,wikidata_combined,,,406394552.0,ns,9
