group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stack-based,wikidata_person,,,61689400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60662500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60648700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60618300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60627600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60646700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60633600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60648100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60642800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60659800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60659600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60650700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60635000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60667600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60693900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60630100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60642300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60601900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60640700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60599100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60604600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60694200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60737400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60637700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60582600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60619400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60614900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60657800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60625900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60638000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60644100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60617200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60613400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60636100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60627300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60648800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60639800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60624600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60622300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60555900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60631500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60618300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60601300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60629500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60579100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60635400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60602700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60597500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60610400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60613300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60645700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60615100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60630800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60609700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60635100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60595900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60633800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60641200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60630600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60596000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60612200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60701600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60641900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60863700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60625800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60600000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60613400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60569700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60537000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60581700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60589800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60638600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60566600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60581700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60590400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60574900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60564400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60593600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60576700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60612200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60578800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60606800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60589800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60620200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60578000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60565000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60577000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60637200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60606600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60622500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60572000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60587500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60582200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60597100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60597900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60571900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60608500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60629800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60579100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60548900.0,ns,3
