group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stack-based,wikidata_person,,,61753200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60723500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60805500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60694800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60676400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60757000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60803600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60693900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60635100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60645500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,61484900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60636200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60707000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60646300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60796300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60662700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60671100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60615500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60765500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60813100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60720800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60812100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60574600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60658100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60627800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60614400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60644000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60750100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60622800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60615400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60626600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60685800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60630200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60694600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60681900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60709500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60825200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60738000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60735900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60762500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60753100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60729200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60808100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60697700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60749800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60745500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60779300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60749300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60585700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60712800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60660900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60634800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60563500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60617400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60651800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60594500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60629800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60598500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60588400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60594600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60578200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60677200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60593800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60666200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60616400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60617800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60590300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60629100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60597300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60630300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60589900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60602600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60618800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60669700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60644400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60601900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60646900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60599800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60602600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60601400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60640000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60612400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,61500400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,64108700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,61900200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,61603800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60590300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60682700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60911900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60906300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60738600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60721700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60691700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60629300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60659900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60564800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60603900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60653800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60733900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,60662200.0,ns,3
