group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stack-based,wikidata_person,,,60737500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60735700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60976200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60610600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60396900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60636600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61279100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61137700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60884800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,62996300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,62933200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,65563800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,62491800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61837900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61117200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61136100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60567300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60914300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60470900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60330300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61196200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61079500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60511100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60739500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60897700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60428200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60398100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60359400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60584700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60971400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61407800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60400100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60433400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60495200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60435800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60439400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60310800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60834700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60588400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60255100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60376400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60442400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60611600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61002100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60472000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60431600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60374700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60696200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60486100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60986500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60906100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60586200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60601900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60527600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60329300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60340400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61184400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60730000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61166000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60717900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61672400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60627900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60656400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60626300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60938300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60837100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60925000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60398100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60459900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60618000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60706100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60637800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60587800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60611600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61669100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60585800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60583200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60505000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60775700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60423200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60934200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60688200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60474200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60887900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60304800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60683500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60767800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60419400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61052900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60692900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60631200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60870400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60512700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60399800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60814700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60650700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60511700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60330200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60316400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60410200.0,ns,4
