group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stack-based,wikidata_person,,,56978400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56465100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,57202300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56045600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55942900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56015400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56119300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55769000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55775300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55930800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55804200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56411900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55745800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55792800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55765300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55490000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55785600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55608400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55775800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55825700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56221200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55728500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55718500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55735300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55942200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55665800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55848900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55848200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55636200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55742700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55708200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55671600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55824500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55798500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55928900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55990700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55876700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55990600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55895100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56036300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56232200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55393100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55861700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55602700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55970800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56030500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55879800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55908400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55929500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55731600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55914900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55899500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55700600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56175800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55805700.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55857900.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55819000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55872400.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56161000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55744200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55851200.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55738100.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55682600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55830800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55866300.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56126800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55778000.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55808500.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55447600.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55612800.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55774500.0,ns,3
