group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stack-based,wikidata_person,,,61955900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61778900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61527100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61660400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61651100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61537300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61492500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61743100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61981000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61805100.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61556800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61555300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61692800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61733200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61454400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61720900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61469600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61495800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61597500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,62073600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61605500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61524700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61719000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61567000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60936500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,60984200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61426700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61735400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61486000.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61866800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61501300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61418700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61795600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61619600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61553700.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61521600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61543300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61663300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,62226500.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61910800.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61559300.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61512900.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61630400.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61609600.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61549200.0,ns,4
simdpath_wikidata_person,stack-based,wikidata_person,,,61398700.0,ns,4
