group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stack-based,wikidata_person,,,55935899.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56387844.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56318682.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55235035.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55239081.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55305408.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55235108.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55226235.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55386429.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55265805.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56458256.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55619885.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56438984.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,56041515.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55282437.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55317929.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55302098.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55254140.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55281510.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55213930.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55217506.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55486018.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55239935.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55207036.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55309430.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55401828.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55242132.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55238725.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55204529.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55262403.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55233032.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55258164.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55508604.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55324007.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55317476.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55219325.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55275353.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55326926.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55171038.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55207201.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55246814.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55276388.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55213114.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55488084.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55250016.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55325981.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55227268.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55297416.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55232571.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55209774.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55450604.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55373774.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55231709.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55318808.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55493121.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55221738.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55243542.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55180711.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55208669.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55240759.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55440826.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55200637.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55204226.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55223334.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55381069.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55411960.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55188436.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55250299.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55174506.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55312445.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55166391.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55241122.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55251655.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55225632.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55195245.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55368934.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55233658.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55265638.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55243254.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55194464.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55170049.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55248251.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55192585.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55309197.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55217884.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55217848.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55374798.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55260803.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55242962.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55239066.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55200412.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55194883.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55162552.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55173713.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55221178.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55322810.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55378522.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55581397.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55268467.0,ns,3
simdpath_wikidata_person,stack-based,wikidata_person,,,55227260.0,ns,3
