group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stackless,wikidata_person,,,60614000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59590300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59742100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60132200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60094200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60148100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59987700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59866300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59949700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59892700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59793500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60002300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59731700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59955700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59810900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59948000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59973500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59923900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59804600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59550800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59699000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59916800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59818600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59879900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60230700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59691700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59733700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59824100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60092500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60143300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59432300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60013200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60153500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59911400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60319700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60210400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60152000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60035700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59871500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59947300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59676300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59741600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59692200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59644400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59816400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59984000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60282200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59834600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59895600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59420400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59743900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59556400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59631100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59714200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59916700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59945800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60081800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60234900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60286000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59707500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60254700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60025900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59849100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60073900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59813800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59860600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60102300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60718700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,61025200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,61021000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60769000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,61313700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,61135700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,61092000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,61224800.0,ns,4
