group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stackless,wikidata_person,,,60316700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60254400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60112200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60148800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60603900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60662200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60571400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60323400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60591500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60273100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,61081900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60124700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60166000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60129500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60681900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60127000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60986600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60943600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60821200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59948400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60566000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59989400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60122300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60572500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60689300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60550800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60765300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,61147900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60553000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60416700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60659000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60776500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60829200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60508300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59600200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59924800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60393900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60947500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60281100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60666300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60898300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60575000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60437000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60157800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60616500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60508500.0,ns,4
