group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stackless,wikidata_person,,,60476700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59961200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60050800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59932100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60389200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60973000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60078600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59983100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60503800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59996400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60108600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60008600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60408600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60001400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59983600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59979200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59871400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60237100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59701300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59923200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60284800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60332700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60318500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59688600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59879300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60213900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60142400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60004200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60026100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60248500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60094100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59758800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60061400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60531700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59824200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59865700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60367100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60199800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59969000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59885500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60310900.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60186800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59942800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60106000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60209800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59838100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60515200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60268200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60049800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60140800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60059600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59923400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60063000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60255800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60080700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60016300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59890300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59903400.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60242200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60265100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59846100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60928200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60029300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59872300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60303200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60039500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60183300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59813000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60117500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60206200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60147100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59951100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59857800.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60160600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59916500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60198200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60278300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60012200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59910300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60211700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60319700.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60039300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59989600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60148500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59989100.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59956000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60249600.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60004300.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60374000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60277200.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60319500.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,59961000.0,ns,4
simdpath_wikidata_person,stackless,wikidata_person,,,60213500.0,ns,4
