group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_person,stackless,wikidata_person,,,61169019.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,61723098.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,61248677.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60454015.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60398380.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60483225.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60405588.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60805898.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60458361.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60425012.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60417781.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60436287.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60368255.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60464426.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60396358.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60414424.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60429755.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60497374.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60418957.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60500834.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60423327.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60465649.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60531253.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60433368.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60418749.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60450626.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60432323.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60701668.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60434913.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60397881.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60373535.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60411455.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60510079.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60378789.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60429405.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60420628.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60626142.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60640052.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60504133.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60497821.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60299772.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60299078.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60295466.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60291380.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60319224.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60316769.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60369402.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60662469.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60404644.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60362371.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60347557.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60334172.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60337041.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60446424.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60362030.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60458729.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60430307.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60751924.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60384083.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60403410.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60508818.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60399877.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60316571.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60460323.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60359331.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60313605.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60836951.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60876309.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60570937.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60498312.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60339368.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60489497.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60488176.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60474001.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60336839.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60420230.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60519407.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60679421.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60359252.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60399534.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60454408.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60347546.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60428223.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60303221.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60389085.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60337502.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60511180.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60643947.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60538055.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60444605.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60346440.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60326658.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60416389.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60411246.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60386685.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60407415.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60418131.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60562728.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60483113.0,ns,5
simdpath_wikidata_person,stackless,wikidata_person,,,60525827.0,ns,5
