group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72401800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72080800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72107000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72020300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72119200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72079100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72640900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72125200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72102800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72069200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72080200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72011300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72032900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72044200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72577800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72061300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72007600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72055100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72039600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72071600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72103000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72006700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72082700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72598500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72026700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72043700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72023800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72046900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72072700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72010500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72045400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72568700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72109200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72070300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72049000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72072200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72088500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72000000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72095900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72045800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72609800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72098700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72006400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72111400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72029500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72092500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72070100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72071900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72642800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72071100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72080000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72074700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72051400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72052200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72079200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72096800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72106400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72547500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72065400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72080100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72061300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72076100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72092400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72101500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72030100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72567900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72066600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72077800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72021100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72063400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72044000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72072200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72088000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,71993300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72620900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72036600.0,ns,2
