group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stack-based,wikidata_profession,,,51978300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52328500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52117300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52205500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52358900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52174000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52261700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52209700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52310500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52301800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52320500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52503000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52524000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52135100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52296400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52162200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52329500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52383100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52429200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52362100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52429000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52412900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52243900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52419000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52407500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52326100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52431700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52420100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52555300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52497000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52325300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52456000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52494200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52449900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52408600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52420700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52230100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52525700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52424800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52264000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52618700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52458100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52616800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52392700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52284900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52557400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52379700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52465700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52548900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52443700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52495100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52602100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52583100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52412800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52375300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52438900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52290200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52521400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52306800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52328100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52562400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52585900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52451900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52592000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52467500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52353600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52635700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52446700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52440300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52640100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,52529300.0,ns,2
