group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72332400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72276000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72261300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72311000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72221300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72343200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72278700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72582800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72292100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72277800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72276900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72293700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72218600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72253600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72273000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72182500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72294900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72143500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72314100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72231300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72226800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72148400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72076400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72198800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72106700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72178500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72184800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72456200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72529100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72482200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72528500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72480600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72572600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72535800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72515300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72526100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72561500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72544800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72665300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72585200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72489800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72182300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72111200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72244200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72236400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72168300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72126000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72178800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,71996300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72100200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72096600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72274800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72215600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72159900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72186000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,72062100.0,ns,2
