group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57631600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56506400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56419500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56443600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56278100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56339800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56421400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56483400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56286800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56610900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56677600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56587700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56285300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56323000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56304900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56394300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56289300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56468100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56352500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56291100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56715700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57718700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56720200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56316700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56387900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56427400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56372400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56263600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56223600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56222900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56297900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56356300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56244600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56287100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56241200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56319100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56377900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56238900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56303500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56538700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56379500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56213900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56396600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56212300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56267000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56401400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56290600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56350200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56319000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56565400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56475200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56360300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56328300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56332800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56994100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56768900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56349700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56419700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57032800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56279500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56421100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,56262700.0,ns,2
