group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58563800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58020900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58026400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58243100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57961700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58517800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57904100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57787000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57631900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58020500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58205500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58110900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58132700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58250800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58149300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57948600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57964200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58107700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58076200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58390100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57980100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57918900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57899200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57858400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57810900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58096400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58090700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58027100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57856400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57823600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57798800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58212700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58346600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57231700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57414700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57976600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57905500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57931900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57986600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57847200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58020400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58115700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57961300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58087600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57784900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58032000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57845600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58090600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58204900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58201100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58156600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58248900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58023900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57988000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58330800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57950000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57959400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57872500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58316100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58113600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57867500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58084000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58164900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58031500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57909400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57949500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57743000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57903300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57878900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58119300.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58094000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58374000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57881000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57826600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58041700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57894500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57955200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57648900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57998100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57946900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58151600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57922700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58067500.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57819800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58131200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58007600.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58594000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58635800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,59875000.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,59430100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57999200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58137800.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57816200.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58157100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57974100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57972400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58031100.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,57918700.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58198900.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,58281500.0,ns,2
