group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66584546.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66985902.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,67153869.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65972463.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65992792.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66056762.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65969774.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65998608.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65960825.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66226417.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66053736.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65970596.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65913246.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65988185.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65929078.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65972858.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66015225.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66130607.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66436998.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66053525.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66099690.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65979587.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66018588.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66029877.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66055080.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66027014.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66164644.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66236534.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65984769.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66005291.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66014548.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65966344.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65909088.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66069750.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65962467.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66040805.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66277040.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65954509.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65921743.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66049983.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65926560.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66005909.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65906668.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65934534.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65965002.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66305113.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66020263.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65974394.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65982317.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66052369.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65967965.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65950858.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65968893.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65937912.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66282116.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65998520.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65976146.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65912593.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65938743.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65956561.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66122893.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66074345.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65967063.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66134566.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66026332.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65992784.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66083749.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65927289.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,65948389.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,66024870.0,ns,2
