group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stack-based,wikidata_profession,,,63538151.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61669910.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61838441.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,63172182.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62257624.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61562664.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61930040.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62387653.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62047276.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62454604.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62294729.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61775836.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62128023.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,63635173.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62057478.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62505204.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61822267.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62389464.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62581444.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62132967.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62145316.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62483954.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62069078.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,63103641.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62521626.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62080241.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62027337.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62116257.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62243665.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62165618.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62316307.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61581162.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62308859.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62268371.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62012545.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62028354.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62356814.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62599956.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61823833.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61831367.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61719878.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62368973.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62723024.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62249766.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62360315.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62046712.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62173008.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62571783.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62123441.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62491953.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,63171988.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62507245.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62872392.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62353148.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62261400.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61549498.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62061777.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62336739.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62611594.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62201875.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62566227.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62595593.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62156452.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62231502.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62079008.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62909583.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62501847.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62691131.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61944147.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61877342.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62008972.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,63086501.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62098154.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62340636.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62210316.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61570750.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61738392.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61748331.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61502805.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61969559.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62205336.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62779319.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62035833.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61963781.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62404927.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61799354.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62465507.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62576943.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62222534.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61959095.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62752408.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62288781.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62498442.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62358319.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61789082.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,61982384.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62497745.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62367859.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62241887.0,ns,2
simdpath_wikidata_profession,stack-based,wikidata_profession,,,62162303.0,ns,2
