group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stackless,wikidata_profession,,,56729100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56011800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55886500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55686000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55785500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55775200.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55785400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55790700.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55628900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55787100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55732800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55523900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55441600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55575400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55698800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55710300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55700500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55616200.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55487500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55499000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55513800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55341600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55485100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55765600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55553400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55714400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55624100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55508200.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55595100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55581900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55477300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55245500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55232600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55181900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55351400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,55373600.0,ns,2
