group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stackless,wikidata_profession,,,67040900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67018300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67080000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66905800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66953400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67021800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66940300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67027300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66957200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66919800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66903600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66962900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66919100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67071200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66939800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67045200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66962800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66935200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67011300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67421000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67604200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67233800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67082900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66938000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66958400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67125000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67102700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67038300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66947500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67050700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67318700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67091500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67186100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66988700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67053700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66980300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66981700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67117100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66965300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67079900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66991000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67016200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66895100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67129600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66894600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66961100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67134400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67016900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66968600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66934100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67088200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66896900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66966300.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67029800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66898800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66953600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66917400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66980800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67039500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66950500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67077800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66962700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66952800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67149500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66968100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66967400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67403600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67103700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66967700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66906100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67929000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66875800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66979900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67074700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67087800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66998600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66989100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66999900.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67014700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66918500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66938400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67211700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66936100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66936800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67026800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66988200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66923600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67000800.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67042600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66988500.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67047000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67017700.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67039600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66923400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67116600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67165200.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66962000.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67010100.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,66995400.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,67075500.0,ns,3
