group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stackless,wikidata_profession,,,56840900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56480400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56690800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56289000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56241300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56214000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56227800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56319000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56379100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56229700.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56215600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56327600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56321300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56420300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56433600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56357900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56218600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56289500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56234100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56212600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56751300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56276600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56368100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56336800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56215500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56461600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56374700.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56286400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56305600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56869200.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56254600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56473400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56429300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56288100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56249000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56244400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56292300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56231600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56205800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56215700.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56267100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,57010400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56357800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56327000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56322600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56281000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56427900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56652500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56536900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56517000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56327600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56286200.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56310100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56634000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56276800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56383200.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56505200.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56363500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56506600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56750300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56427500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56362800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56356600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56355000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56296500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56414500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56464600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56566500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56373700.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56610500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56593400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56639100.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56298400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56707200.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56454200.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,57147300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56445400.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56555800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56303900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56402900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56591000.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56331800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56307900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56325800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56454300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56439900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56560200.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56338800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56305800.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56302600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56291600.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56379900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56498700.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56286200.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56277900.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56423500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56294700.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56485500.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56358300.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,56626800.0,ns,2
