group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stackless,wikidata_profession,,,64869146.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64394005.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64402759.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64271917.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64381689.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64380779.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64486877.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64324817.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64320184.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64565596.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64302597.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64227550.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64128376.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64277205.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64248524.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64220329.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64326227.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64153030.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64417896.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64475462.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64303568.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64245052.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64398450.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64359831.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64329145.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64248126.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64269930.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64324654.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64580201.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64363206.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64324594.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64303440.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64384328.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64276262.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64336189.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64370884.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64616240.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64654873.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64414711.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64312519.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64288490.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64232614.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64198211.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64268155.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64291476.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64183632.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64334215.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64423174.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64276779.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64195214.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64402768.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64412687.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64309264.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64269189.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64306600.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64337079.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64509805.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64311395.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64238592.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64330790.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64368189.0,ns,3
simdpath_wikidata_profession,stackless,wikidata_profession,,,64338717.0,ns,3
