group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_profession,stackless,wikidata_profession,,,63577640.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62578578.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62842790.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62848190.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62343367.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62702268.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62634881.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62706140.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62631752.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62564363.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62683868.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62372386.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62645513.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62927056.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62746193.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62650057.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62416260.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62416133.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62728786.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62678412.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62496626.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62407208.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62898773.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62819578.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62510370.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62507501.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62828415.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62720707.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62484569.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62739981.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62792921.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62378864.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62770762.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62649573.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62772065.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62619412.0,ns,2
simdpath_wikidata_profession,stackless,wikidata_profession,,,62443578.0,ns,2
