group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58672600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58543300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58575100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58627800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,59180300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58554500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58551000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58584100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58526900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58547700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58571300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58633400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58512000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58568400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,59075400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58611100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58509000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58563800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58538900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58568800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58526000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58564400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58548900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58541300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58573200.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,59095500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58567100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58587700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58506600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58611600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58573600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58561100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58549000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58594800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58545700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,59081100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58514100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58589500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58553800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58557600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58553900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58610800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58561900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58579100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58543800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,59127700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58576900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58583100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58832600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58520500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58493000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58514500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58548600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58525200.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58465100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58497800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58495400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58470400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58407800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58494600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58462100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58504200.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58493200.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58523100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58465700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58455400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58442800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58481400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58429600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58464000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58557000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58458700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58492900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58449900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58465400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58473400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58444700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58457100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58472900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58529300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58516400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58471700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58506300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58496400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58492300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58440600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58501500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58456000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58475500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58480300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58527300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58466400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58469900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58471800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58473700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58507900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58514700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58462600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58519300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58472700.0,ns,3
