group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55851000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55582700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55798800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55642300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,56245800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55656200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55893300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,56034100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55944600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55937200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55988100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,56137700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55781200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55952000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,56055700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55893500.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,56055100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55851200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,56045400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55958000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,56469900.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55561600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55592700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55606400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55855600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55752600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55625000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55483100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55530900.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,56041100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55455100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,55692300.0,ns,4
