group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58689300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58461200.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58442500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58491400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58468400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58483400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58518600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58484800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58378500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58468400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58424400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58418900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58651900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58678100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58498600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58581600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58649800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58619600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58645900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58679300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58588700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58634200.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58630600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58486700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58883300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58754800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58742700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58696500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58729200.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58850500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58766300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58970300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58693900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58588700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,59835600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58522900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58540300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58786400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58948200.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58798700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58735100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58461400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58345500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58961300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58757200.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58836000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58886500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58731000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58698500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58526700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58406900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58038000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58148900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58243900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58661000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58852200.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58648100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58567100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58047700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,57483600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58123700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58467300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58301800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58164400.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58960500.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58852000.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58715700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58438300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58411200.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58956100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58412300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58558100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58496800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58402900.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58403600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58475700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58432300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58434700.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58370800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58371800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58448600.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58503300.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58469800.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58393100.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,58424200.0,ns,3
