group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62955000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62196600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61777300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61751300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62759400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62445800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62108700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61715200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62514400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61914300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,63162900.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62067600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62244100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61594300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61658400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61866700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61580700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61661800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61720300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61949700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61675400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61954800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61704000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61660900.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62533600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62068700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61786500.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61902600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62233600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61807600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61782400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62003700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62393200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61659400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61632000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61706200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61800100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61786200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61595000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61850600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61600600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61588700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61687000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61710800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61752900.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61660400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61783200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61704300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61689500.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61770400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61684900.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61632400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61914500.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61921200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61871100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61680000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61615400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62001600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62302100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61737400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61836600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61859100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61683600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,63438500.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61649000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61563200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61680000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61680300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61711700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61696000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61628200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61849400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61659800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62410200.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62150400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62510000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61781100.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61693800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61732500.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61772800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61785800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61608400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61855000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62204900.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62002300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61665300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61917700.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61660800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61962000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62066000.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62919600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,63282400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,63335300.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,63081500.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,62047800.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61691900.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61880400.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61618600.0,ns,4
simdpath_wikidata_properties,stack-based,wikidata_properties,,,61613400.0,ns,4
