group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_properties,stack-based,wikidata_properties,,,51716042.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,51163251.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50251514.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50454546.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50657301.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50029050.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50307460.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50328404.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50275144.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50028545.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,51169560.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50762876.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,49887496.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50620930.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50545943.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50139661.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50055468.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50817442.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,49777731.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50519197.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,49961381.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50192945.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,51137809.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50368324.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50919709.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50983635.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50237727.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50306639.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50325707.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50668737.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50308487.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50602929.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50585646.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50340456.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,51444290.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50258985.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,49927045.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50190930.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50939786.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50604341.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,51736484.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50625388.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50451702.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50236324.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50382131.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,49977241.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,51254496.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50145578.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50173836.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50422249.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50166617.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,49989337.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50013731.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50315665.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50989234.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50855415.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50219747.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50937927.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50585853.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50091650.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50752651.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50968836.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50499369.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,49883418.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50128827.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50529970.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50472478.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50590074.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50550030.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50296883.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50693345.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50613810.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50565413.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50233658.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50238571.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50393439.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,49971972.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50388762.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50309672.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50321280.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,49868902.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,51478303.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50367562.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,49880334.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50369139.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50060027.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50190006.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50744656.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50391013.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50867684.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50382726.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,51104624.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50258045.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,51317769.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50744330.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50445160.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50271449.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50378741.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50202280.0,ns,3
simdpath_wikidata_properties,stack-based,wikidata_properties,,,50243813.0,ns,3
