group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_properties,stackless,wikidata_properties,,,52982000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53097000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53073000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53046100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53111200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53053400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53107700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53038100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53085800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53596900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53015900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53092900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53031600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53053300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53133600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53047600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53126100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53097700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53139600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53091500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53699300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53202900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53174100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53106900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53136600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53108300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53102600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53092900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53082600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53090800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53064700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53159800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53619100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53140400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53209000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53122400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53154900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53245200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53178900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53503900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53026000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53058000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53033900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53115300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53083700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53079500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53124200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53065900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53094400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53111400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53104000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53089100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53054800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53030300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53035300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53051200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53011100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53043900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53007700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53035800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53014600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53075600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53092700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53151200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53190700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53110900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53146900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53131200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53171000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53194200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53174200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53158600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53206800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53168200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53181400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53147500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53138300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53139500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53118900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53227600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53187700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53256600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53276500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53203300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53164700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,52973100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53010300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53104900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53176400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53225900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53244600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53187600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53196800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53219900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53121100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53117100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53197500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53211300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53179900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,53164600.0,ns,4
