group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_properties,stackless,wikidata_properties,,,62607400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61484700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61275800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61838200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61581100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61491900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61729600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61375300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61708000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61693000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61392800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61691400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61517000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61477500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61776500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61661200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61397500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61410000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61413100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61678700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61329800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61504800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61348100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61744000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61702800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61792800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61499500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61686100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61739200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61582000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61477400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61445400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61493700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61494100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61469000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61253900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61384700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61666300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61551300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61335700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61350500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61725700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61689800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61939800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61723300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61743900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61724000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61876100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61424700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61398900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61607100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61430200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61446300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61243700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61535000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61355500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61391600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61658300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61510800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61553500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61374100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,61749300.0,ns,4
