group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_properties,stackless,wikidata_properties,,,63566500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63355000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63290000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63122700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63048600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63178800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63300200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63345300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63163000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63115100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63278700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63149100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63132400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63082100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63207800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63632700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63118300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63123200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,64005900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63258100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63189000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63041300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63140000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63629000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63089000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63241800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63255500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63190200.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63428800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63154900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63376600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63243300.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63143500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63090500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63218700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63122800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63526000.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63139700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63084700.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63083900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63182800.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63234500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63063900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63214600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63318500.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63358100.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,64693400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63971600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,64994400.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,64596600.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63569900.0,ns,4
simdpath_wikidata_properties,stackless,wikidata_properties,,,63651600.0,ns,4
