group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_properties,stackless,wikidata_properties,,,57023428.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56585817.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56443915.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56506135.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56413842.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56446915.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56420816.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56422871.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56584210.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56417090.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56575770.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56528017.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56367900.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56398858.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56457013.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56448991.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56496268.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56349808.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56504749.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56408125.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56435791.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56718846.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56438576.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56444848.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56424836.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56408095.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56513751.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56443759.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56383246.0,ns,5
simdpath_wikidata_properties,stackless,wikidata_properties,,,56358249.0,ns,5
