group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simdpath_wikidata_properties,stackless,wikidata_properties,,,51314011.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50907109.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,51616741.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,51989517.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50704506.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50844486.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50748266.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50908453.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50700142.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50466878.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50375646.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50373147.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50904175.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50650130.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50591623.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50883506.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50775543.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50909995.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50535371.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50729148.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50654420.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50560848.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50563172.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50578087.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50796157.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50481845.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50728010.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50712379.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50756043.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50680591.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50601494.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50935035.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50605149.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50698181.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50535081.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50640396.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50952409.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50716727.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50767281.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50547929.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50827843.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50580094.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50522368.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50583805.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50492893.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50836648.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50757183.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50745873.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50570149.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50853771.0,ns,3
simdpath_wikidata_properties,stackless,wikidata_properties,,,50318825.0,ns,3
