group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wikidata_combined,nosimd,wikidata_combined,,,335413300.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,333794100.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,338780500.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334910100.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335283700.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335496300.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334463400.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335070000.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,346036800.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335799700.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336458900.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334832100.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335527600.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334078900.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336757500.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,338071600.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335793500.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335475900.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335672500.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336236700.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,340959000.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336081000.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336883900.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335837200.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335616800.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334703300.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334761200.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335532300.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,340450100.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336663300.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335669900.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336380300.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334906500.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336223700.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335042200.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335990100.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336852000.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335935500.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,339004800.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336775600.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334768400.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334753200.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335708000.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336593900.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334834500.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335015100.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,338016700.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336100000.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336314600.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335093400.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335234100.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335679900.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,337584600.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334864400.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335647800.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335499800.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334947300.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,338188600.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335939300.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336604300.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334575300.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334655400.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334417300.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,338968500.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335610000.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336236200.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335681900.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335385900.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336472600.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335070000.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,338460500.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,336250200.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335117800.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335851800.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,334781500.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335885000.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,338027800.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335566000.0,ns,2
wikidata_combined,nosimd,wikidata_combined,,,335150000.0,ns,2
