group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wikidata_combined,simd,wikidata_combined,,,226757200.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226730600.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226732300.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227399100.0,ns,5
wikidata_combined,simd,wikidata_combined,,,228896400.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226707000.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226000800.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226522100.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227372700.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226286300.0,ns,5
wikidata_combined,simd,wikidata_combined,,,228220900.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227467900.0,ns,5
wikidata_combined,simd,wikidata_combined,,,229472500.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226851700.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226200400.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226971100.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226287100.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227334000.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226734600.0,ns,5
wikidata_combined,simd,wikidata_combined,,,225878200.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226704200.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226712000.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227016300.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226175700.0,ns,5
wikidata_combined,simd,wikidata_combined,,,228768300.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226605600.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226502400.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227665400.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227218000.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227997000.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226805800.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227151800.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226944800.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226451700.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227102700.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226297900.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226905500.0,ns,5
wikidata_combined,simd,wikidata_combined,,,228110000.0,ns,5
wikidata_combined,simd,wikidata_combined,,,225827300.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227516300.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226854200.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227060000.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227277400.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226101800.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227854600.0,ns,5
wikidata_combined,simd,wikidata_combined,,,227795400.0,ns,5
wikidata_combined,simd,wikidata_combined,,,226077200.0,ns,5
