group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wikidata_combined,simd,wikidata_combined,,,300134100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,300950400.0,ns,7
wikidata_combined,simd,wikidata_combined,,,304538700.0,ns,7
wikidata_combined,simd,wikidata_combined,,,300057500.0,ns,7
wikidata_combined,simd,wikidata_combined,,,302640500.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301025600.0,ns,7
wikidata_combined,simd,wikidata_combined,,,302968800.0,ns,7
wikidata_combined,simd,wikidata_combined,,,299503100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,307654000.0,ns,7
wikidata_combined,simd,wikidata_combined,,,308278100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,309303900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,306953400.0,ns,7
wikidata_combined,simd,wikidata_combined,,,341293800.0,ns,7
wikidata_combined,simd,wikidata_combined,,,327647100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,303607900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,303658500.0,ns,7
wikidata_combined,simd,wikidata_combined,,,306300300.0,ns,7
wikidata_combined,simd,wikidata_combined,,,310200300.0,ns,7
wikidata_combined,simd,wikidata_combined,,,319556700.0,ns,7
wikidata_combined,simd,wikidata_combined,,,345945100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,347834600.0,ns,7
wikidata_combined,simd,wikidata_combined,,,383585400.0,ns,7
wikidata_combined,simd,wikidata_combined,,,352613000.0,ns,7
wikidata_combined,simd,wikidata_combined,,,370355500.0,ns,7
wikidata_combined,simd,wikidata_combined,,,354885400.0,ns,7
wikidata_combined,simd,wikidata_combined,,,334952200.0,ns,7
wikidata_combined,simd,wikidata_combined,,,320206900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,321875400.0,ns,7
wikidata_combined,simd,wikidata_combined,,,324125900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,316049200.0,ns,7
wikidata_combined,simd,wikidata_combined,,,313638700.0,ns,7
wikidata_combined,simd,wikidata_combined,,,326742000.0,ns,7
wikidata_combined,simd,wikidata_combined,,,328121700.0,ns,7
wikidata_combined,simd,wikidata_combined,,,336865000.0,ns,7
wikidata_combined,simd,wikidata_combined,,,321469900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,311162800.0,ns,7
wikidata_combined,simd,wikidata_combined,,,308537500.0,ns,7
wikidata_combined,simd,wikidata_combined,,,319689800.0,ns,7
wikidata_combined,simd,wikidata_combined,,,309658200.0,ns,7
wikidata_combined,simd,wikidata_combined,,,328907300.0,ns,7
wikidata_combined,simd,wikidata_combined,,,322946300.0,ns,7
wikidata_combined,simd,wikidata_combined,,,316535300.0,ns,7
wikidata_combined,simd,wikidata_combined,,,317656900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,315672600.0,ns,7
wikidata_combined,simd,wikidata_combined,,,320164600.0,ns,7
wikidata_combined,simd,wikidata_combined,,,313373800.0,ns,7
wikidata_combined,simd,wikidata_combined,,,313299700.0,ns,7
wikidata_combined,simd,wikidata_combined,,,314653700.0,ns,7
wikidata_combined,simd,wikidata_combined,,,304965000.0,ns,7
wikidata_combined,simd,wikidata_combined,,,316792900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,305093100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,305502600.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301450200.0,ns,7
wikidata_combined,simd,wikidata_combined,,,302511300.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301229700.0,ns,7
wikidata_combined,simd,wikidata_combined,,,302513900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,298896300.0,ns,7
wikidata_combined,simd,wikidata_combined,,,302822100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,303180500.0,ns,7
wikidata_combined,simd,wikidata_combined,,,300295300.0,ns,7
wikidata_combined,simd,wikidata_combined,,,304091300.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301248200.0,ns,7
wikidata_combined,simd,wikidata_combined,,,303728100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301515900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,300802200.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301405300.0,ns,7
wikidata_combined,simd,wikidata_combined,,,303776900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301056900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,300725500.0,ns,7
wikidata_combined,simd,wikidata_combined,,,304399500.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301361700.0,ns,7
wikidata_combined,simd,wikidata_combined,,,302160800.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301041600.0,ns,7
wikidata_combined,simd,wikidata_combined,,,302890200.0,ns,7
wikidata_combined,simd,wikidata_combined,,,302311100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,299602900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,302066600.0,ns,7
wikidata_combined,simd,wikidata_combined,,,299798100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301275800.0,ns,7
wikidata_combined,simd,wikidata_combined,,,300498800.0,ns,7
wikidata_combined,simd,wikidata_combined,,,302136100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,300028000.0,ns,7
wikidata_combined,simd,wikidata_combined,,,303881400.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301192800.0,ns,7
wikidata_combined,simd,wikidata_combined,,,323860000.0,ns,7
wikidata_combined,simd,wikidata_combined,,,307889300.0,ns,7
wikidata_combined,simd,wikidata_combined,,,307394000.0,ns,7
wikidata_combined,simd,wikidata_combined,,,333588500.0,ns,7
wikidata_combined,simd,wikidata_combined,,,314876200.0,ns,7
wikidata_combined,simd,wikidata_combined,,,304625100.0,ns,7
wikidata_combined,simd,wikidata_combined,,,307245900.0,ns,7
wikidata_combined,simd,wikidata_combined,,,313325500.0,ns,7
wikidata_combined,simd,wikidata_combined,,,305771800.0,ns,7
wikidata_combined,simd,wikidata_combined,,,305151400.0,ns,7
wikidata_combined,simd,wikidata_combined,,,300728700.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301336500.0,ns,7
wikidata_combined,simd,wikidata_combined,,,301818600.0,ns,7
wikidata_combined,simd,wikidata_combined,,,303375400.0,ns,7
wikidata_combined,simd,wikidata_combined,,,303766700.0,ns,7
wikidata_combined,simd,wikidata_combined,,,305370500.0,ns,7
