group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wikidata_combined,simd_lazy,wikidata_combined,,,6647800.0,ns,3
wikidata_combined,simd_lazy,wikidata_combined,,,13321600.0,ns,6
wikidata_combined,simd_lazy,wikidata_combined,,,20255400.0,ns,9
wikidata_combined,simd_lazy,wikidata_combined,,,28915200.0,ns,12
wikidata_combined,simd_lazy,wikidata_combined,,,33899800.0,ns,15
wikidata_combined,simd_lazy,wikidata_combined,,,40992700.0,ns,18
wikidata_combined,simd_lazy,wikidata_combined,,,48944600.0,ns,21
wikidata_combined,simd_lazy,wikidata_combined,,,54268400.0,ns,24
wikidata_combined,simd_lazy,wikidata_combined,,,62423500.0,ns,27
wikidata_combined,simd_lazy,wikidata_combined,,,68061700.0,ns,30
wikidata_combined,simd_lazy,wikidata_combined,,,74134900.0,ns,33
wikidata_combined,simd_lazy,wikidata_combined,,,86481300.0,ns,36
wikidata_combined,simd_lazy,wikidata_combined,,,89729500.0,ns,39
wikidata_combined,simd_lazy,wikidata_combined,,,95320200.0,ns,42
wikidata_combined,simd_lazy,wikidata_combined,,,103414900.0,ns,45
wikidata_combined,simd_lazy,wikidata_combined,,,108130000.0,ns,48
wikidata_combined,simd_lazy,wikidata_combined,,,116832400.0,ns,51
wikidata_combined,simd_lazy,wikidata_combined,,,128909200.0,ns,54
wikidata_combined,simd_lazy,wikidata_combined,,,130095500.0,ns,57
wikidata_combined,simd_lazy,wikidata_combined,,,136661500.0,ns,60
wikidata_combined,simd_lazy,wikidata_combined,,,146833300.0,ns,63
wikidata_combined,simd_lazy,wikidata_combined,,,154810500.0,ns,66
wikidata_combined,simd_lazy,wikidata_combined,,,158941600.0,ns,69
wikidata_combined,simd_lazy,wikidata_combined,,,163282100.0,ns,72
wikidata_combined,simd_lazy,wikidata_combined,,,172623200.0,ns,75
wikidata_combined,simd_lazy,wikidata_combined,,,181524300.0,ns,78
wikidata_combined,simd_lazy,wikidata_combined,,,185928800.0,ns,81
wikidata_combined,simd_lazy,wikidata_combined,,,192947700.0,ns,84
wikidata_combined,simd_lazy,wikidata_combined,,,197471600.0,ns,87
wikidata_combined,simd_lazy,wikidata_combined,,,203765800.0,ns,90
wikidata_combined,simd_lazy,wikidata_combined,,,210988500.0,ns,93
wikidata_combined,simd_lazy,wikidata_combined,,,218320900.0,ns,96
wikidata_combined,simd_lazy,wikidata_combined,,,230945000.0,ns,99
wikidata_combined,simd_lazy,wikidata_combined,,,235418600.0,ns,102
wikidata_combined,simd_lazy,wikidata_combined,,,249480500.0,ns,105
wikidata_combined,simd_lazy,wikidata_combined,,,249900100.0,ns,108
wikidata_combined,simd_lazy,wikidata_combined,,,260759700.0,ns,111
wikidata_combined,simd_lazy,wikidata_combined,,,264257000.0,ns,114
wikidata_combined,simd_lazy,wikidata_combined,,,269946500.0,ns,117
wikidata_combined,simd_lazy,wikidata_combined,,,282689700.0,ns,120
wikidata_combined,simd_lazy,wikidata_combined,,,278467100.0,ns,123
wikidata_combined,simd_lazy,wikidata_combined,,,286784500.0,ns,126
wikidata_combined,simd_lazy,wikidata_combined,,,294438100.0,ns,129
wikidata_combined,simd_lazy,wikidata_combined,,,299853200.0,ns,132
wikidata_combined,simd_lazy,wikidata_combined,,,305997600.0,ns,135
wikidata_combined,simd_lazy,wikidata_combined,,,313280100.0,ns,138
wikidata_combined,simd_lazy,wikidata_combined,,,318421700.0,ns,141
wikidata_combined,simd_lazy,wikidata_combined,,,328347600.0,ns,144
wikidata_combined,simd_lazy,wikidata_combined,,,335034300.0,ns,147
wikidata_combined,simd_lazy,wikidata_combined,,,341495800.0,ns,150
wikidata_combined,simd_lazy,wikidata_combined,,,344801200.0,ns,153
wikidata_combined,simd_lazy,wikidata_combined,,,352721200.0,ns,156
wikidata_combined,simd_lazy,wikidata_combined,,,361608100.0,ns,159
wikidata_combined,simd_lazy,wikidata_combined,,,368050400.0,ns,162
wikidata_combined,simd_lazy,wikidata_combined,,,372224300.0,ns,165
wikidata_combined,simd_lazy,wikidata_combined,,,380108700.0,ns,168
wikidata_combined,simd_lazy,wikidata_combined,,,387722700.0,ns,171
wikidata_combined,simd_lazy,wikidata_combined,,,393181500.0,ns,174
wikidata_combined,simd_lazy,wikidata_combined,,,401231300.0,ns,177
wikidata_combined,simd_lazy,wikidata_combined,,,407084400.0,ns,180
wikidata_combined,simd_lazy,wikidata_combined,,,415173000.0,ns,183
wikidata_combined,simd_lazy,wikidata_combined,,,420952700.0,ns,186
wikidata_combined,simd_lazy,wikidata_combined,,,429359500.0,ns,189
wikidata_combined,simd_lazy,wikidata_combined,,,437916900.0,ns,192
wikidata_combined,simd_lazy,wikidata_combined,,,500469600.0,ns,195
wikidata_combined,simd_lazy,wikidata_combined,,,481138600.0,ns,198
wikidata_combined,simd_lazy,wikidata_combined,,,472957000.0,ns,201
wikidata_combined,simd_lazy,wikidata_combined,,,479647100.0,ns,204
